Name,ID
alkali metal molecular entity (UBERON),CHEBI:33296
alkaline earth molecular entity (UBERON),CHEBI:33299
pnictogen (UBERON),CHEBI:33300
pnictogen molecular entity (UBERON),CHEBI:33302
chalcogen (UBERON),CHEBI:33303
chalcogen molecular entity (UBERON),CHEBI:33304
carbon group element atom (UBERON),CHEBI:33306
carboxylic ester (UBERON),CHEBI:33308
main group element atom (UBERON),CHEBI:33318
iron group element atom (UBERON),CHEBI:33356
sulfur oxoacid (UBERON),CHEBI:33402
pnictogen oxoacid (UBERON),CHEBI:33408
sulfur oxoacid derivative (UBERON),CHEBI:33424
phosphorus oxoacid (UBERON),CHEBI:33457
pnictogen oxoanion (UBERON),CHEBI:33459
phosphorus oxoanion (UBERON),CHEBI:33461
sulfur oxoanion (UBERON),CHEBI:33482
chalcogen oxoacid (UBERON),CHEBI:33484
chalcogen oxoanion (UBERON),CHEBI:33485
transition element molecular entity (UBERON),CHEBI:33497
alkali metal cation (UBERON),CHEBI:33504
alkaline earth cation (UBERON),CHEBI:33513
transition element cation (UBERON),CHEBI:33515
metal atom (UBERON),CHEBI:33521
alpha-amino-acid anion (UBERON),CHEBI:33558
s-block element atom (UBERON),CHEBI:33559
p-block element atom (UBERON),CHEBI:33560
d-block element atom (UBERON),CHEBI:33561
glycolipid (UBERON),CHEBI:33563
catechols (UBERON),CHEBI:33566
catecholamine (UBERON),CHEBI:33567
noradrenaline (UBERON),CHEBI:33569
benzenediols (UBERON),CHEBI:33570
(S)-noradrenaline (UBERON),CHEBI:33571
carboxylic acid (UBERON),CHEBI:33575
main group molecular entity (UBERON),CHEBI:33579
carbon group molecular entity (UBERON),CHEBI:33582
cyclic compound (UBERON),CHEBI:33595
hydrogen molecular entity (UBERON),CHEBI:33608
polycyclic compound (UBERON),CHEBI:33635
bicyclic compound (UBERON),CHEBI:33636
aliphatic compound (UBERON),CHEBI:33653
aromatic compound (UBERON),CHEBI:33655
organic aromatic compound (UBERON),CHEBI:33659
heteropolycyclic compound (UBERON),CHEBI:33671
heterobicyclic compound (UBERON),CHEBI:33672
s-block molecular entity (UBERON),CHEBI:33674
p-block molecular entity (UBERON),CHEBI:33675
d-block molecular entity (UBERON),CHEBI:33676
hydrides (UBERON),CHEBI:33692
oxygen hydride (UBERON),CHEBI:33693
biomacromolecule (UBERON),CHEBI:33694
information biomacromolecule (UBERON),CHEBI:33695
nucleic acid (UBERON),CHEBI:33696
ribonucleic acid (UBERON),CHEBI:33697
proteinogenic amino-acid residue (UBERON),CHEBI:33700
polyatomic cation (UBERON),CHEBI:33702
amino-acid cation (UBERON),CHEBI:33703
alpha-amino acid (UBERON),CHEBI:33704
gamma-amino acid (UBERON),CHEBI:33707
amino-acid residue (UBERON),CHEBI:33708
amino acid (UBERON),CHEBI:33709
alpha-amino-acid residue (UBERON),CHEBI:33710
alpha-amino-acid cation (UBERON),CHEBI:33719
carbohydrate acid (UBERON),CHEBI:33720
carbohydrate acid anion (UBERON),CHEBI:33721
iron group molecular entity (UBERON),CHEBI:33744
canonical nucleoside residue (UBERON),CHEBI:33791
canonical ribonucleoside residue (UBERON),CHEBI:33792
canonical deoxyribonucleoside residue (UBERON),CHEBI:33793
organic hydroxy compound (UBERON),CHEBI:33822
organic cyclic compound (UBERON),CHEBI:33832
heteroarene (UBERON),CHEBI:33833
conjugated protein (UBERON),CHEBI:33837
macromolecule (UBERON),CHEBI:33839
phenols (UBERON),CHEBI:33853
