Class ID,Preferred Label,Synonyms,Definitions
RID10994,nuclear crystal detector material,,
RID10995,BGO,,
RID10997,LSO,,
RID10999,LYSO,,
RID11,exemplary quality,,
RID11001,GSO,,
RID11003,NaI,,
RID11005,interventional procedure attribute,,
RID11006,anesthesia,,
RID11007,general anesthesia,,
RID11008,local anesthesia,,
RID11009,tumescent anesthesia,,
RID11010,regional anesthesia,,
RID11011,epidural anesthesia,,
RID11012,spinal anesthesia,,
RID11013,sedation depth,,
RID11014,deep sedation,,
RID11015,moderate sedation,,
RID11016,mild sedation,,
RID11017,no sedation,,
RID11018,interventional access technique,,
RID11019,trochar access technique,,
RID11021,coaxial access technique,,
RID11022,Seldinger access technique,,
RID11023,interventional access closure technique,,
RID11024,manual pressure access closure technique,,
RID11025,clamp pressure access closure technique,,
RID11026,closure device access closure technique,,
RID11027,track closure technique,,
RID11028,ablation track closure technique,,
RID11029,embolization track closure technique,,
RID11030,balloon dilation procedure,,
RID11031,angioplasty,,
RID11032,track dilation,,
RID11034,cholangioplasty,,
RID11036,urinary tract dilatation,,
RID11037,sequential dilation of a structure,,
RID11039,compliant balloon,,
RID11040,noncompliant balloon,,
RID11041,cutting balloon,,
RID11042,cryoplasty balloon,,
RID11043,balloon deployment,,
RID11044,monorail deployment,,
RID11045,over-the-wire deployment,,
RID11046,balloon catheter,,
RID11047,low profile balloon catheter,,
RID11048,standard balloon catheter,,
RID11050,high-pressure balloon,,
RID11051,low-pressure balloon,,
RID11052,interventional wire,,
RID11053,hydrophilic wire,,
RID11054,nonhydrophilic wire,,
RID11055,stiff wire,,
RID11056,nonstiff wire,,
RID11058,radiofrequency ablation endpoint determinant,,
RID11059,target temperature endpoint,,
RID11060,impedance control endpoint,,
RID11061,duration of ablation endpoint,,
RID11062,focused ultrasound energy application method,,
RID11063,extracorporeal application,,
RID11065,direct application,,
RID11066,bolus triggering method,,
RID11067,best estimated timing,,
RID11069,automated bolus tracking,,
RID11071,real-time reconstructed MR images,,
RID11073,test bolus,,
RID11074,procedure complication timing,,
RID11075,immediate complication,,
RID11076,early complication,,
RID11077,late complication,,
RID11078,substance administration attribute,,
RID11079,enhancement phase,,
RID11080,arterial phase,,
RID11081,delayed phase,,
RID11082,early arterial phase,,
RID11083,early venous phase,,
RID11084,late venous phase,,
RID11085,portal venous phase,,
RID11086,unenhanced phase,,
RID11087,route of administration,,
RID11088,auricular,,
RID11090,buccal,,
RID11091,conjunctival,,
RID11092,cutaneous,,
RID11093,dental,,
RID11094,electroosmosis,,
RID11095,endocervical,,
RID11097,endosinusial,,
RID11098,endotracheal,,
RID11099,enteral,,
RID11100,epidural route,,
RID11101,extra-amniotic,,
RID11102,extracorporeal,,
RID11103,hemodialysis,,
RID11104,infiltration route,,
RID11105,interstitial route,,
RID11106,intra-abdominal,,
RID11107,intra-amniotic,,
RID11108,intra-arterial,,
RID11109,intra-articular,,
RID11110,intrabiliary,,
RID11111,intrabronchial,,
RID11112,intrabursal,,
RID11113,intracardiac,,
RID11114,intracartilaginous,,
RID11115,intracaudal,,
RID11116,intracavernous,,
RID11117,intracavitary,,
RID11118,intracerebral,,
RID11119,intracisternal,,
RID11120,intracorneal,,
RID11121,"intracoronal, dental",,
RID11122,intracoronary,,
RID11123,intracorporus cavernosum,,
RID11124,intradermal,,
RID11125,intradiscal,,
RID11126,intraductal,,
RID11127,intraduodenal,,
RID11128,intradural,,
RID11129,intraepidermal,,
RID11130,intraesophageal,,
RID11131,intragastric,,
RID11132,intragingival,,
RID11133,intraileal,,
RID11134,intralesional,,
RID11135,intraluminal,,
RID11136,intralymphatic,,
RID11137,intramedullary,,
RID11138,intrameningeal,,
RID11139,intramuscular,,
RID11140,intraocular,,
RID11141,intraovarian,,
RID11142,intrapericardial,,
RID11143,intraperitoneal,,
RID11144,intrapleural,,
RID11145,intraprostatic,,
RID11146,intrapulmonary,,
RID11147,intrasinal,,
RID11148,intraspinal,,
RID11149,intrasynovial,,
RID11150,intratendinous,,
RID11151,intratesticular,,
RID11153,intrathoracic,,
RID11155,intratubular,,
RID11156,intratumor,,
RID11157,intratympanic,,
RID11158,intrauterine,,
RID11159,intravascular,,
RID11160,intravenous,,
RID11161,intravenous bolus,,
RID11162,intravenous drip,,
RID11163,intraventricular,,
RID11164,intravesical,,
RID11165,intravitreal,,
RID11166,iontophoresis,,
RID11167,irrigation,,
RID11168,laryngeal,,
RID11169,nasal,,
RID11170,nasogastric,,
RID11171,occlusive dressing technique,,
RID11172,ophthalmic,,
RID11173,oral,,
RID11174,oropharyngeal,,
RID11175,parenteral,,
RID11176,percutaneous,,
RID11177,periarticular,,
RID11178,peridural,,
RID11179,perineural,,
RID11180,periodontal,,
RID11181,rectal,,
RID11182,respiratory,,
RID11184,retrobulbar,,
RID11185,soft tissue administration,,
RID11187,subconjunctival,,
RID11188,subcutaneous,,
RID11190,sublingual,,
RID11191,submucosal,,
RID11192,topical,,
RID11193,transdermal,,
RID11194,transmucosal,,
RID11195,transplacental,,
RID11196,transtracheal,,
RID11197,transtympanic,,
RID11198,ureteral,,
RID11199,urethral,,
RID11200,vaginal,,
RID11201,via existing access,,
RID11202,cut down,,
RID11203,open surgical,,
RID11204,transcutaneous needle puncture,,
RID11206,transpleural,,
RID11207,transarterial,,
RID11208,transvenous,,
RID11209,laparascopic,,
RID11210,endoscopic,,
RID11211,embolic agent,,
RID11212,temporary embolic agent,,
RID11213,absorbable gelatin sponge,,
RID11215,polyvinyl alcohol,,
RID11217,calibrated microspheres,,
RID11218,glue,,
RID11219,herbal agent,,
RID11220,bletilla striata,,
RID11221,image processing attribute,,
RID11222,gating time frame,,
RID11223,prospective gating,,
RID11224,retrospective gating,,
RID11225,volume rendering method,,
RID11226,orthographic volume rendering,,
RID11227,perspective volume rendering,,
RID11229,image display format,,
RID11230,film-based images,,
RID11231,digital image display,,
RID11232,digital images displayed on a computer screen,,
RID11233,printed digital images,,
RID11234,images printed on film,,
RID11235,images printed on paper,,
RID11236,motion artifact reduction method,,
RID11237,breathing control,,
RID11238,spirometry breathing control,,
RID11239,LED breathing control,,
RID11240,triggering,,
RID11241,respiratory triggering,,
RID11242,diaphragm navigator echo,,
RID11243,bellows,,
RID11244,nasal sensor,,
RID11245,cardiac triggering,,
RID11246,gating,,
RID11247,respiratory gating,,
RID11248,cardiac gating,,
RID11249,peripheral pulse gating,,
RID11250,EKG gating,,
RID11252,cardiac navigator echo,,
RID11254,imaging error,,
RID11255,marker error,,
RID11256,incorrect markers,,
RID11257,incorrect marker orientation,,
RID11258,no marker,,
RID11259,PACS error,,
RID11260,images under wrong exam,,
RID11261,missing exam,,
RID11262,missing images,,
RID11263,unavailable exam,,
RID11264,patient data error,,
RID11265,incorrect accession number,,
RID11266,incorrect number of images,,
RID11267,incorrect patient ID,,
RID11268,incorrect patient name,,
RID11269,mismatch order to exam performed,,
RID11270,multiple studies same accession number,,
RID11271,uncompleted exam in RIS,,
RID11272,wrong demographics,,
RID11273,image defect,,
RID11274,overexposure,,
RID11277,underexposure,,
RID11280,noisy image,,
RID11281,suboptimal patient positioning,,
RID11282,clipped or missing marker,,
RID11283,plate erasure,,
RID11284,image processing failure,,
RID11285,incorrect filter applied,,
RID11286,double exposure,,
RID11287,noise artifact,,
RID11288,protocol error,,
RID11289,incorrect protocol,,
RID11290,incomplete protocol,,
RID11291,collimation error,,
RID11293,undercollimation,,
RID11294,overcollimation,,
RID11295,inappropriate manual collimation,,
RID11296,artifact,,
RID11297,faulty instrument or use of instrument artifact,,
RID11298,capture equipment failure,,
RID11299,xray equipment failure,,
RID11300,plate-reader artifact,,
RID11301,patient artifact,,
RID11302,anatomic artifact,,
RID11303,intervening anatomic structure,,
RID11304,body habitus artifact,,
RID11305,large body habitus artifact,,
RID11307,physiologic or metabolic artifact,,
RID11308,patient motion,,
RID11309,arrhythmia artifact,,
RID11310,left bundle branch block,,
RID11311,hyperglycemia artifact,,
RID11312,incorrect patient position,,
RID11313,object artifact,,
RID11314,intervening foreign body,,
RID11315,grid artifact,,
RID11316,procedural artifact,,
RID11317,body substance contamination,,
RID11319,dose extravasation,,
RID11320,activity at injection site,,
RID11321,abnormal uptake kinetics,,
RID11322,image processing artifact,,
RID11323,CT image artifact,,
RID11324,streaking artifact,,
RID11325,ring artifact,,
RID11326,shading artifact,,
RID11327,beam hardening artifact,,
RID11329,scatter artifact,,
RID11332,cone-beam effect artifact,,
RID11333,helical interpolation artifact,,
RID11334,metal artifact,,
RID11335,magnetic resonance image artifact,,
RID11336,zipper artifact,,
RID11337,zipper in readout direction,,
RID11340,stimulated echoartifact,,
RID11341,persistent free induction decay artifact,,
RID11343,zipper in phase encoding direction at zero frequency,,
RID11347,zipper in phase direction at non-zero frequency,,
RID11353,stripe artifact,,
RID11354,star artifact,,
RID11355,synchronous RF noise artifact,,
RID11357,central dot artifact,,
RID11358,central stripe in fast imaging,,
RID11359,data error artifact,,
RID11360,digitization-error artifact,,
RID11367,Saturation of analog to digital converter,,
RID11368,magnetic field perturbation artifact,,
RID11369,static magnetic field inhomogeneity,,
RID11370,ferromagnetic implant magnetic susceptibility effect,,
RID11371,vacuum cleaner artifact,,
RID11372,tissue magnetic susceptibility effect,,
RID11373,microscopic irregularities in magnetic field,,
RID11374,chemical shift artifact,,
RID11375,chemical shift of first kind,,
RID11377,chemical shift of second kind,,
RID11380,loss of signal in tissue voxels,,
RID11381,loss of signal at interface voxels,,
RID11387,artifact related to temporal magnetic field instability,,
RID11388,aliasing artifact,,
RID11392,spectral overlap artifact,,
RID11395,phase wraparound artifact,,
RID11397,out of plane wrap around artifact,,
RID11398,fringe artifact,,
RID11403,suboptimal gradient artifact,,
RID11404,gradient nonlinearity,,
RID11405,gradient power drop-off,,
RID11406,gradient amplifier saturation,,
RID11407,eddy currents,,
RID11408,non-uniform signal intensity artifact,,
RID11409,surface coil sensitivity artifact,,
RID11412,receiver coil-transmitter coil coupling,,
RID11413,conductivity artifact,,
RID11414,standing wave-related effect,,
RID11415,low-pass frequency filter artifact,,
RID11416,misalignment of planes of excitation and refocusing pulses,,
RID11417,non-uniform slice thickness,,
RID11418,non-uniformity in real images,,
RID11419,phase non-uniformity,,
RID11420,phase non-uniformity arising from phase sensitivity of coil,,
RID11421,phase non-uniformity arising from static field inhomogeneity,,
RID11422,incorrect compensation of readout gradient,,
